Location Name,Location Address,longitude and latitude,Verified
Supercenter #3471,"3105 Cobb Pkwy Nw Acworth, GA 30152","34.028489,-84.657991",TRUE
Supercenter #3748,"3826 Cobb Pkwy Nw Acworth, GA 30101","34.046532,-84.69659",TRUE
Supercenter #758,"1711 E Lamar St, Americus, GA 31709","32.06038,-84.202211",TRUE
Supercenter #1586,"1133 E W Connector, Austell, GA 30106","33.855608,-84.586825",TRUE
Supercenter #5812,"97 Commerce Drive, Blue Ridge, GA 30513","34.87706,-84.32572",TRUE
Supercenter #858,"361 8th Ave Ne, Cairo, GA 39828","30.887298,-84.203348",TRUE
Supercenter #722,"1735 S Highway 27, Carrollton, GA 30117","33.543251,-85.077402",TRUE
Supercenter #2753,"1455 Highway 441 S, Clayton, GA 30525","34.859747,-83.404274",TRUE
Supercenter #1311,"5448 Whittlesey Blvd Ste B Columbus, GA 31909","32.540952,-84.946168",TRUE
Supercenter #1338,"3515 Victory Drive Columbus, GA 31903","32.423791,-84.945461",TRUE
Supercenter #4200,"6475 Gateway Road Columbus, GA 31909","32.538525,-84.876805",TRUE
Supercenter #4283,"2801 Airport Thruway Columbus, GA 31909","32.522477,-84.948541",TRUE
Supercenter #1403,"250 Furniture Dr, Cornelia, GA 30531","34.536529,-83.531839",TRUE
Supercenter #3403,"3615 Charles Hardy Pkwy, Dallas, GA 30157","33.935471,-84.730413",TRUE
Supercenter #593,"1450 Bowens Mill Rd Se, Douglas, GA 31533","31.484793,-82.848412",TRUE
Supercenter #2360,"4725 Ashford Dunwoody Rd Dunwoody, GA 30338","33.933154,-84.333334",TRUE
Supercenter #5482,"201 Walmart Dr, Eatonton, GA 31024","33.295492,-83.388793",TRUE
Supercenter #594,"125 Pavilion Pkwy, Fayetteville, GA 30214","33.481133,-84.443191",TRUE
Supercenter #510,"400 Shallowford Rd Nw Gainesville, GA 30504","34.29189,-83.850448",TRUE
Supercenter #1061,"136 E Jarman St, Hazlehurst, GA 31539","31.861925,-82.586568",TRUE
Supercenter #5814,"2200 Holly Springs Pkwy, Holly Springs, GA 30115","34.18551,-84.504357",TRUE
Supercenter #614,"803 New Franklin Rd Lagrange, GA 30240","33.059954,-85.031414",TRUE
Supercenter #1340,"5401 Fairington Rd Lithonia, GA 30038","33.700553,-84.166924",TRUE
Supercenter #4472,"8424 Mall Parkway Lithonia, GA 30038","33.694745,-84.084948",TRUE
Supercenter #1076,"1401 Gray Hwy Macon, GA 31211","32.863107,-83.610854",TRUE
Supercenter #1153,"6020 Harrison Rd Macon, GA 31206","32.809235,-83.71814",TRUE
Supercenter #2890,"5955 Zebulon Rd Macon, GA 31210","32.883048,-83.760078",TRUE
Supercenter #3201,"135 Willow Ln, Mcdonough, GA 30253","33.432892,-84.184723",TRUE
Supercenter #952,"641 Veterans Pkwy S, Moultrie, GA 31788","31.170369,-83.757925",TRUE
Supercenter #3461,"2717 Highway 54, Peachtree City, GA 30269","33.401156,-84.599991",TRUE
Supercenter #787,"7050 Highway 85, Riverdale, GA 30274","33.562621,-84.410372",TRUE
Supercenter #836,"6586 Ga Highway 40 E, Saint Marys, GA 31558","30.777947,-81.619073",TRUE
Supercenter #754,"147 Northside Dr E Statesboro, GA 30458","32.434092,-81.759731",TRUE
Supercenter #1024,"414 S Main St, Swainsboro, GA 30401","32.588182,-82.330543",TRUE
Supercenter #1658,"2205 Harrison Rd Se, Thomson, GA 30824","33.480829,-82.501679",TRUE
Supercenter #2584,"4375 Lawrenceville Hwy, Tucker, GA 30084","33.855618,-84.205317",TRUE
Supercenter #2732,"600 Carrollton Villa Rica Hwy, Villa Rica, GA 30180","33.720263,-84.934763",TRUE
